gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,439363285815.4402,361.6275237670637,0.09200644493103027,9,[6652.368 6765.52  6782.3  ],[365.33055796 384.88220743 376.01973618],[5430. 5357. 5504.],[7554. 7637. 7658.]
1,250,439363285815.4402,413.67266080501275,0.3305339813232422,13,[6875.076 7025.244 7026.332],[242.54477159 269.07649556 240.22923589],[6043. 6108. 6386.],[7554. 7865. 7658.]
2,250,439363285815.4402,375.42986286093844,0.2980227470397949,17,[6987.66  7180.6   7164.576],[236.1246459  264.99302632 213.31373192],[6261. 6232. 6645.],[7554. 7865. 7658.]
3,250,439363285815.4402,281.07456359421195,0.297529935836792,15,[7078.356 7311.924 7267.424],[240.55380534 238.99475773 195.06178566],[6163. 6618. 6699.],[7601. 8223. 7735.]
4,250,439363285815.4402,358.0383223329165,0.29995298385620117,18,[7183.172 7416.408 7352.776],[236.08208406 243.53569253 209.38679477],[6163. 6618. 6779.],[7669. 8223. 7889.]
5,250,439363285815.4402,415.37687520785875,0.2850205898284912,20,[7234.92  7513.588 7449.652],[241.00299085 236.06609722 208.58226889],[6507. 6887. 6799.],[7874. 8223. 8014.]
6,250,439363285815.4402,414.1144511357104,0.2610206604003906,22,[7301.604 7579.952 7512.22 ],[243.81307427 242.3041182  217.00728928],[6507. 6754. 6799.],[7874. 8223. 8101.]
7,250,439363285815.4402,398.02223257067936,0.26882290840148926,14,[7386.412 7621.264 7603.224],[246.71430087 253.89130411 220.99438415],[6560. 6706. 7059.],[8003. 8223. 8179.]
8,250,439363285815.4402,410.3008189089837,0.2635221481323242,19,[7447.452 7687.176 7699.396],[257.97266463 258.84414041 195.06384387],[6560. 6706. 7131.],[8051. 8223. 8179.]
9,250,439363285815.4402,371.6426112994274,0.25201869010925293,12,[7535.048 7750.048 7779.448],[240.59098424 246.93984226 197.91123085],[6852. 7196. 7290.],[8179. 8393. 8281.]
10,250,566212081780.9099,365.6593810216468,0.29643726348876953,14,[7596.792 7806.888 7812.508],[244.60650183 248.63088194 221.03469849],[6852. 7196. 7045.],[8179. 8393. 8281.]
11,250,566212081780.9099,392.6587439534167,0.2850191593170166,20,[7670.792 7808.324 7879.424],[238.84992095 275.27495168 219.49045588],[7021. 7196. 7045.],[8193. 8398. 8377.]
12,250,566212081780.9099,413.7121766505629,0.2779664993286133,19,[7717.392 7864.704 7930.272],[248.73696616 277.3448402  217.63655487],[7021. 7157. 7045.],[8244. 8398. 8380.]
13,250,566212081780.9099,401.129520521763,0.28810811042785645,22,[7758.016 7917.404 7980.184],[232.61069568 254.65187371 198.90686802],[7021. 7157. 7206.],[8334. 8555. 8518.]
14,250,566212081780.9099,371.8105135688262,0.2630198001861572,33,[7793.892 7967.82  8010.604],[235.95959047 248.37430543 216.41929485],[7067. 7128. 7206.],[8334. 8555. 8518.]
15,250,566212081780.9099,449.3962992987223,0.2580246925354004,28,[7829.404 7991.912 8045.964],[237.43654475 258.4483551  224.04707252],[7112. 7128. 7217.],[8334. 8637. 8518.]
16,250,566212081780.9099,345.76343442122874,0.30402231216430664,21,[7890.94  8028.752 8054.728],[228.05318766 269.00070352 238.41383772],[7112. 7128. 7217.],[8334. 8637. 8604.]
17,250,566212081780.9099,357.89638826259466,0.2660214900970459,24,[7909.696 8098.024 8086.984],[229.89497512 244.66895067 224.63221439],[7280. 7369. 7514.],[8391. 8637. 8604.]
18,250,566212081780.9099,355.99803497771205,0.27003955841064453,26,[7941.328 8139.284 8125.088],[229.57784827 240.44986867 232.03256723],[7305. 7369. 7473.],[8426. 8637. 8654.]
19,250,566212081780.9099,422.8906203160135,0.3415372371673584,23,[7946.8   8156.212 8167.844],[238.17571665 250.01385373 232.73585814],[7362. 7369. 7473.],[8519. 8688. 8654.]
20,250,637063215955.5181,417.62509288527457,0.283050537109375,27,[7971.348 8173.36  8196.048],[232.409352   259.91373646 226.56380491],[7307. 7369. 7543.],[8519. 8688. 8668.]
21,250,637063215955.5181,421.38940387414084,0.3021068572998047,27,[8009.536 8206.012 8216.4  ],[236.75102683 254.66926759 226.26838931],[7307. 7419. 7622.],[8519. 8688. 8760.]
22,250,637063215955.5181,442.577296799133,0.30353379249572754,22,[8024.016 8242.696 8243.848],[237.40786791 249.7280032  236.32069925],[7307. 7419. 7622.],[8525. 8759. 8760.]
23,250,637063215955.5181,439.5874929019895,0.2730247974395752,24,[8035.112 8258.976 8297.788],[224.7676922  246.68198034 235.47886329],[7429. 7419. 7622.],[8525. 8759. 8775.]
24,250,637063215955.5181,452.25090968936263,0.29708003997802734,28,[8059.588 8265.836 8322.596],[217.15834374 254.23315501 240.04268117],[7456. 7419. 7669.],[8575. 8759. 8775.]
25,250,637063215955.5181,397.9657738457322,0.28205442428588867,25,[8073.92  8296.624 8338.864],[225.02960161 252.0848322  234.95585437],[7456. 7500. 7602.],[8575. 8797. 8775.]
26,250,637063215955.5181,412.42255170066176,0.2520177364349365,21,[8088.228 8330.972 8377.284],[225.93533592 234.05707683 223.96593345],[7456. 7604. 7602.],[8617. 8797. 8775.]
27,250,637063215955.5181,394.9801322235383,0.2680175304412842,26,[8100.184 8370.96  8374.768],[228.47157842 217.55649933 231.25973747],[7456. 7604. 7602.],[8617. 8797. 8844.]
28,250,637063215955.5181,374.69377712091074,0.3160228729248047,32,[8118.536 8398.7   8392.92 ],[223.96069455 200.85374281 219.94297806],[7456. 7788. 7720.],[8620. 8797. 8844.]
29,250,637063215955.5181,357.48189834665743,0.29035449028015137,37,[8138.184 8396.7   8419.348],[220.03837425 210.13434274 219.90767812],[7436. 7779. 7720.],[8620. 8797. 8844.]
30,250,671821122464.0037,370.6819915302117,0.2560160160064697,40,[8152.408 8401.772 8427.296],[228.6273508  220.28289088 228.63406654],[7436. 7671. 7720.],[8656. 8797. 8863.]
31,250,671821122464.0037,360.868079019311,0.24808192253112793,49,[8166.424 8417.684 8440.624],[234.17794137 214.72009721 223.95800192],[7436. 7671. 7862.],[8656. 8797. 8863.]
32,250,671821122464.0037,359.3675974894829,0.3124969005584717,48,[8191.108 8408.072 8484.324],[224.90394469 215.6146628  202.33914852],[7498. 7605. 7862.],[8656. 8797. 8863.]
