gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,439312347516.19684,361.6275237670637,0.10102391242980957,9,[6657.27710843 6771.17670683 6787.43373494],[357.73955593 375.13950404 367.92644387],[5509. 5602. 5760.],[7554. 7637. 7658.]
1,248,439312347516.19684,368.5954898610588,0.3730285167694092,4,[6881.24017467 7028.44978166 7023.99126638],[246.28585825 259.75104534 255.44387246],[6017. 6137. 6296.],[7554. 7841. 7737.]
2,228,439312347516.19684,391.1801939356869,0.38602638244628906,6,[6982.30252101 7155.08823529 7175.24369748],[226.73573462 254.70078958 237.83021154],[6234. 6232. 6537.],[7554. 7841. 7790.]
3,238,439312347516.19684,442.1687927004247,0.38404083251953125,10,[7083.83743842 7306.22167488 7323.78325123],[232.44786094 227.11383644 224.10769384],[6414. 6700. 6699.],[7800. 7841. 8055.]
4,202,439312347516.19684,410.32242960725296,0.1890115737915039,16,[7134.56053812 7387.76681614 7401.11659193],[267.58394963 221.92116601 218.16697609],[6414. 6697. 6778.],[7812. 7909. 8055.]
5,222,439312347516.19684,280.50541318250583,0.2440178394317627,10,[7229.08780488 7451.72682927 7512.61463415],[276.81569478 241.96081826 213.3796177 ],[6414. 6784. 6944.],[7812. 7961. 8206.]
6,204,439312347516.19684,274.6439844387331,0.2720191478729248,14,[7289.69642857 7515.66517857 7555.81696429],[276.7441069  230.72598823 229.6643659 ],[6422. 6784. 6944.],[7896. 7985. 8206.]
7,224,439312347516.19684,327.8974943901556,0.2890334129333496,19,[7407.63636364 7554.17676768 7662.46464646],[250.92404801 233.41443194 214.59545276],[6334. 6784. 6842.],[7896. 8032. 8206.]
8,198,439312347516.19684,353.1555401505437,0.3140244483947754,19,[7428.96086957 7611.3826087  7704.33043478],[270.94131121 221.4206142  228.61247719],[6334. 6992. 6842.],[8002. 8032. 8273.]
9,230,439312347516.19684,325.7883656325962,0.29102039337158203,22,[7508.10091743 7665.18348624 7775.6146789 ],[246.89887411 219.61988284 215.76275657],[6610. 6870. 7213.],[8005. 8097. 8273.]
10,218,439312347516.19684,346.44306262686877,0.2310316562652588,22,[7572.91666667 7724.4537037  7824.24074074],[245.86840145 234.56716973 215.93178237],[6610. 6870. 7213.],[8167. 8242. 8273.]
11,216,439312347516.19684,371.86947030292,0.27152490615844727,34,[7597.31404959 7765.1322314  7849.73140496],[252.5118779  235.39363699 223.83239322],[6610. 6870. 7213.],[8178. 8242. 8378.]
12,242,439312347516.19684,443.3343338491224,0.3000214099884033,30,[7655.19090909 7819.13181818 7925.39545455],[248.82039873 229.71774358 214.3085986 ],[6610. 7102. 7220.],[8255. 8242. 8419.]
13,220,439312347516.19684,403.06101883220526,0.247023344039917,16,[7693.82969432 7857.25327511 7974.83406114],[243.41726855 233.16194973 208.58981388],[7008. 7102. 7220.],[8255. 8359. 8419.]
14,228,439312347516.19684,399.58896234971445,0.264019250869751,21,[7739.71634615 7904.45673077 8035.85096154],[230.23449861 240.33141791 191.19993538],[7091. 7102. 7437.],[8255. 8470. 8419.]
15,208,439312347516.19684,409.2103546539518,0.19001483917236328,25,[7771.41860465 7941.1255814  8084.15813953],[232.19514974 228.33310642 190.84727394],[7030. 7102. 7549.],[8270. 8470. 8460.]
16,214,439312347516.19684,362.0495755632138,0.19501495361328125,32,[7824.82291667 8004.01041667 8121.92708333],[241.53551735 222.92683753 194.1476964 ],[7030. 7291. 7495.],[8426. 8470. 8460.]
17,192,439312347516.19684,402.7064167011849,0.17201781272888184,28,[7863.85067873 8004.74208145 8164.43891403],[228.89484705 222.49877013 164.92894981],[7030. 7291. 7495.],[8426. 8470. 8482.]
18,220,439312347516.19684,385.56541773845066,0.2310178279876709,30,[7891.94331984 8018.92712551 8190.86234818],[219.60871725 220.82134762 167.79741641],[7030. 7291. 7495.],[8426. 8470. 8610.]
19,246,439312347516.19684,377.5002965559045,0.28902196884155273,21,[7929.49222798 8069.90673575 8229.32124352],[224.86042001 206.93006905 159.04631715],[7030. 7315. 7736.],[8426. 8470. 8610.]
20,192,439312347516.19684,307.76884348899836,0.16801238059997559,25,[7948.40196078 8103.16666667 8234.79901961],[222.35725802 197.52701892 167.7283746 ],[7030. 7315. 7767.],[8426. 8521. 8610.]
21,204,439312347516.19684,379.74714936316855,0.20302867889404297,22,[7978.4952381  8112.18095238 8257.49047619],[207.84083305 211.69557122 172.56044463],[7335. 7315. 7767.],[8426. 8521. 8641.]
22,210,439312347516.19684,381.0707364288826,0.2220170497894287,33,[7984.66521739 8128.31304348 8287.78695652],[218.97455899 215.73652873 177.47534502],[7373. 7315. 7645.],[8426. 8577. 8648.]
23,230,439312347516.19684,408.52551217915095,0.23703789710998535,28,[8045.4213198  8136.99492386 8311.70050761],[201.83732242 238.93587053 192.50174144],[7407. 7315. 7645.],[8426. 8655. 8757.]
